LoanID|PropertyID|Person1ID|Person2ID|CreatedDT|DataProviderID
1|1|80658464|80658464|2018-12-24 09:19:22|1
2|2|10391528||2018-10-29 19:58:11|1
4|4|38661124|84799946|2018-01-19 00:00:00|1
5|5|44952714|51444376|2017-07-18 00:00:00|1
7|7|92054|92054|2018-12-24 06:49:07|1
9|9|7666759||2018-10-29 19:58:11|1
10|10|32140634|69970552|2017-07-18 00:00:00|1
11|11|44952714|51444376|2017-07-18 00:00:00|1
12|12|16953960|66481309|2017-07-18 00:00:00|1
15|15|36807617||2018-10-29 19:58:11|1
16|16|38918757|29057525|2018-12-24 09:19:22|1
17|17|24085250|61539351|2017-07-18 00:00:00|1
18|18|5734819|67614621|2017-07-18 00:00:00|1
19|19|8908695||2018-10-29 19:58:11|1
22|22|26307851|70183339|2018-12-24 09:19:22|1
23|23|8430341||2018-10-29 19:58:11|1
25|25|32302209|66566619|2017-07-18 00:00:00|1
26|26|39681254|56057495|2017-07-18 00:00:00|1
27|27|39067140|64030232|2018-12-24 09:19:22|1
28|28|44210887|60969914|2017-07-18 00:00:00|1
29|29|38106760|60964955|2017-07-18 00:00:00|1
30|30|22141689|69655481|2017-07-18 00:00:00|1
31|31|26621162||2018-10-29 19:58:11|1
32|32|33617321|66852632|2017-07-18 00:00:00|1
33|33|46520579||2020-01-04 17:08:46|1
34|34|42464765|59574111|2017-07-18 00:00:00|1
35|35|4784842||2018-10-29 19:58:11|1
36|36|6710882||2018-10-29 19:58:11|1
37|37|19842885||2018-10-29 19:58:11|1
38|38|43572890||2018-10-29 19:58:11|1
43|43|1785624||2018-10-29 23:09:31|1
44|44|25895724|60221025|2017-07-18 00:00:00|1
45|45|6873874|50710329|2017-07-18 00:00:00|1
46|46|21541545|55411890|2017-07-18 00:00:00|1
47|47|44206038||2020-03-28 17:14:25|1
48|48|8966831||2018-10-29 23:09:31|1
49|49|26001238||2018-10-29 19:58:11|1
50|50|22887952||2018-10-29 19:58:11|1
51|51|38697857||2018-10-29 19:58:11|1
52|52|3123156||2018-10-29 19:58:11|1
54|54|9000586|59601248|2017-07-18 00:00:00|1
55|55|42054368|72344860|2017-07-18 00:00:00|1
56|56|21515229|62693937|2017-07-18 00:00:00|1
